"Type","Gender","Decl.","Lunasi","Meaning",,,,,,,
"N","N","4","ád","result",,,,,,,https://jasontank.net/wordgen.html
"N","N","3","áfei","egg",,,,,,,
"V","T","X","afeise","know",,,,,,,I. QUANTITY
"A","","X","albis","white",,,,,,,#ERROR!
"N","N","4","alis","month",,,,,,,
"V","T","X","alone","to total up",,,,,,,
"A","","X","alser","black (color)",,,,,,,1. Numbers
"C","","X","amese","almost",,,,,,,----------
"N","N","3","anena","feather",,,,,,,
"N","F","2","áos","Sun",,,,,,,Basics:
"A","","X","árifesei","ancient",,,,,,,"account, amount, average, difference, division, figure,"
"V","","X","arile","to give",,,,,,,"growth, heap, number, rest, result, sum, variety, zero --"
"V","","X","arine","to receive",,,,,,,"to total -- absolute, all, another, any, different, entire,"
"C","","X","áse","once",,,,,,,"every, few, final, first, general, half, immense, many,"
"C","","X","asi","one",,,,,,,"one, quite, second, several, single, some, total -- about,"
"C","","X","asi","one",,,,,,,"almost, below, frequent, further, once, over, very."
"P","","","asidici","nice to meet you",,,,,,,
"C","","X","asir","first",,,,,,,Additional vocabulary:
"C","","X","ásin","numerous/countless",,,,,,,"the four rules, addition, substraction, multiplication,"
"V","","X","auve","eat",,,,,,,"remainder, fraction, even/odd number, cardinal/ordinal"
"V","T","X","auvere","to feed",,,,,,,"number, surplus, the multiplication-table problem in"
"N","N","4","bácir","amount",,,,,,,"arithmetic, dozen/a score, pile, bulk, to substract, to"
"C","","X","bánen","any",,,,,,,"multiply, to calculate, to compute, to lessen, to"
"N","N","4","bectin","sentence (grammatical)",,,,,,,"eliminate, to total up, numerous/countless, innumerable,"
"V","T","","bele","pull",,,,,,,(in)definite
"N","N","","belenater","magnet",,,,,,,
"N","N","","belerusta","pulling force | gravity",,,,,,,
"A","","X","beril","further",,,,,,,2. Measurements and Weights
"N","N","4","bet","number",,,,,,,---------------------------
"A","","X","bete/betem","cardinal/ordinal",,,,,,,
"N","N","3","bica","number",,,,,,,Basics:
"N","N","4","bical","detail",,,,,,,"date, depth, detail, distance, end, equality, fortune, hour,"
"N","N","4","birat","year",,,,,,,"length, load, measure, mile, minute, month, pair, pause,"
"N","N","","biserre","height",,,,,,,"quarter, surface, year -- to estimate, to thin, to weigh --"
"N","N","4","bistat","Preposition",,,,,,,"deep, distant, equal, even, farther, great, heavy, high,"
"","","X","bute","to (～ために)",,,,,,,"irregular, less, light, long, more, most, much, narrow,"
